Emmerich Ziemssen wrote:


                                            ##
                                            ##
                                      #     ##      #
                                     ####   ##    ###
                                       ###  ##  ###
                                         #########
                                  ######################
                                  ######################
                                          ######
                                        ###########
                                      ####  ##  ####
                                    ####    ##     ###
                                            ##
                                            ##
                 ##                                             ##
                 ##                                             ##
                 ##                                             ##
                 #################################################
                 #################################################
                 #################################################
                 #################################################
                 #################################################
                 ##                         ##                  ##
                 ##                         ##                  ##
                                            ##                  ##
                                            ##                  ##
                                            ##                  ##
                                            ###                 ##
                                            ###                 ##
                                            ###                ###
                                             ####             ####
                                             ######         #####
                                              ###################
                                              ##################
                                               ################
                                                  ###########
                                                     #####
                 ##
                 ##
                 ##
                 ####
                 #########
                 ##    ######
                 ##        #######
                             #######
                                ########
                                ##    ######
                                ##       #######
                                ##            #######
                                ##                #######
                                ##                  #######
                                ##                 ############
                                ##             ###################
                                ##        #####################
                                ##     ####################
                                ######################
                                ####################
                 ##         ####################
                 ##    #####################
                 #######################
                 ###################
                 ###############
                 #############
                 #########
                 ####
                 ##
                 ##

                                                         #########
                                                         #########
                                                         #########
                                                              ####
                                                                ##
                                                                ##
                                                                ##
                                                                ##
                 ##                                             ##
                 ##                                             ##
                 #################################################
                 #################################################
                 #################################################
                 #################################################
                 #################################################
                 ##                                             ##
                 ##                                             ##
                                                                ##
                                                                ##
                                                                ##
                                                               ###
                                                            ######
                                                         #########
                                                         #########
                 ##########
                 ##########
                 ##########                    ############
                   #####                     #################
                  ####                     #########      #####
                  ###                     ########           ###
                 ###                     ########              ##
                 ###                     #######               ##
                 ##                     ########                ##
                 ##                     ########                ##
                 ##                    ########                 ##
                 ##                    ########                 ##
                 ###                  ########                  ##
                 ###                  ########                 ###
                 ####               ##########                ###
                  ####            ###########               #####
                   ######       ############             #######
                    ######################               #########
                      ###################                #########
                       #################
                          ############

                                                         #########
                 ##                                      #########
                 #####                                   #########
                 ########                                     ####
                 ###########                                    ##
                 ###############                                ##
                 ##################                             ##
                 ##  ###############                            ##
                 ##    ################                         ##
                 ##        ###############                      ##
                 ##           ################                  ##
                 ##              ################               ##
                 ##                 ################            ##
                 ##                   ################          ##
                 ##                      ################       ##
                 ##                         ################    ##
                 ##                            ###################
                 ##                               ################
                 ###                                 #############
                 ###                                   ###########
                 ####                                     ########
                 ##########                                   ####
                 ##########                                     ##

                                            ##
                                            ##
                                      #     ##      #
                                     ####   ##    ###
                                       ###  ##  ###
                                         #########
                                  ######################
                                  ######################
                                          ######
                                        ###########
                                      ####  ##  ####
                                    ####    ##     ###
                                            ##
                                            ##


Hm? 


Abgelaufen?


Ts. 

Thierry, braucht auch noch 'ne Hausapotheke
